,link,count
0,link798863917076,3683
1,link1288490188815,2910
2,link755914244118,2420
3,link532575944722,2415
4,link214748364811,2241
5,link1468878815250,1453
6,link996432412694,797
7,link25769803776,763
8,link1125281431562,759
9,link369367187470,651
10,link1194000908303,580
11,link257698037775,564
12,link627065225236,564
13,link1030792151065,559
14,link8589934595,498
15,link1288490188816,471
16,link395136991258,443
17,link824633720850,421
18,link34359738385,380
19,link1683627180045,366
20,link1056561954816,330
21,link1494648619010,319
22,link1580547964928,312
23,link1314259992589,301
24,link1529008357378,300
25,link188978561034,270
26,link678604832791,257
27,link781684047909,254
28,link1511828488193,252
29,link1357209665544,244
30,link1271310319636,236
31,link335007449089,235
32,link841813590036,233
33,link584115552267,220
34,link1503238553612,219
35,link1322849927187,206
36,link1271310319632,205
37,link1030792151066,195
38,link1288490188800,194
39,link1219770712064,186
40,link1099511627780,166
41,link463856467993,165
42,link1675037245462,164
43,link1614907703315,161
44,link214748364812,159
45,link1606317768723,158
46,link1022202216448,158
47,link618475290645,157
48,link1520418422793,155
49,link1529008357381,149
50,link996432412701,143
51,link154618822680,136
52,link1022202216468,135
53,link687194767380,134
54,link1013612281867,134
55,link781684047877,133
56,link1382979469334,132
57,link515396075530,126
58,link627065225216,122
59,link369367187471,113
60,link687194767387,113
61,link1348619730944,111
62,link747324309507,104
63,link1511828488195,101
64,link68719476763,98
65,link446676598787,97
66,link996432412682,96
67,link1047972020236,89
68,link1400159338512,89
69,link549755813906,88
70,link566935683079,85
71,link1185410973706,82
72,link1632087572483,81
73,link618475290646,81
74,link103079215107,81
75,link360777252869,80
76,link592705486873,78
77,link858993459235,77
78,link1288490188808,76
79,link395136991250,76
80,link1537598291990,74
81,link515396075542,74
82,link1099511627784,72
83,link1425929142291,72
84,link1030792151074,72
85,link1632087572481,71
86,link386547056645,71
87,link1614907703314,68
88,link1382979469316,68
89,link1460288880643,67
90,link343597383709,67
91,link1159641169934,66
92,link807453851653,66
93,link1425929142272,65
94,link472446402562,64
95,link343597383684,63
96,link1056561954825,63
97,link678604832776,63
98,link369367187473,63
99,link1030792151061,62
100,link970662608904,62
101,link1322849927197,62
102,link317827579905,61
103,link850403524616,60
104,link927712935959,60
105,link687194767391,59
106,link1194000908288,58
107,link1408749273114,58
108,link1245540515865,57
109,link1649267441683,55
110,link420906795021,55
111,link************,55
112,link1417339207684,55
113,link94489280522,54
114,link601295421458,54
115,link343597383702,54
116,link1632087572487,53
117,link309237645318,53
118,link532575944721,53
119,link1503238553602,53
120,link498216206339,52
121,link1400159338522,51
122,link68719476760,51
123,link1443109011470,50
124,link1254130450432,50
125,link1159641169922,49
126,link970662608898,48
127,link103079215120,48
128,link300647710744,48
129,link730144440335,47
130,link506806140950,46
131,link240518168585,46
132,link1606317768716,46
133,link60129542163,46
134,link111669149711,46
135,link128849018903,46
136,link609885356036,44
137,link214748364800,44
138,link558345748496,44
139,link1408749273112,44
140,link781684047894,44
141,link704374636552,44
142,link1322849927176,44
143,link944892805146,43
144,link420906795026,43
145,link927712935945,43
146,link1486058684426,42
147,link369367187458,42
148,link1073741824019,42
149,link1322849927201,41
150,link927712935936,40
151,link1022202216451,40
152,link1451698946067,40
153,link1692217114624,40
154,link1391569403920,38
155,link1571958030353,38
156,link1108101562390,38
157,link919123001373,37
158,link395136991242,37
159,link919123001355,37
160,link1511828488208,37
161,link420906795010,37
162,link377957122050,37
163,link1271310319624,37
164,link515396075529,36
165,link1554778161152,36
166,link1563368095761,36
167,link180388626438,36
168,link1168231104519,36
169,link111669149702,36
170,link1554778161178,35
171,link429496729603,35
172,link798863917057,35
173,link1563368095754,34
174,link463856467996,34
175,link1297080123409,34
176,link1537598291973,34
177,link1168231104518,34
178,link1245540515870,34
179,link266287972374,34
180,link592705486855,33
181,link1529008357389,33
182,link944892805150,33
183,link979252543510,33
184,link661424963587,32
185,link1125281431556,32
186,link962072674334,32
187,link1322849927193,32
188,link1443109011461,32
189,link712964571156,32
190,link60129542158,32
191,link489626271749,32
192,link17179869194,32
193,link773094113301,31
194,link1632087572490,31
195,link1090921693212,31
196,link8589934607,31
197,link652835028992,31
198,link1039382085654,31
199,link111669149703,30
200,link438086664208,30
201,link274877906957,30
202,link884763262981,30
203,link944892805155,30
204,link446676598804,29
205,link1494648619014,29
206,link816043786241,28
207,link1133871366169,28
208,link1486058684444,28
209,link1511828488192,28
210,link1374389534742,28
211,link1065151889414,28
212,link154618822681,28
213,link584115552268,27
214,link627065225218,27
215,link936302870533,27
216,link738734374919,27
217,link1022202216472,27
218,link1683627180048,27
219,link867583393817,27
220,link403726925842,27
221,link807453851670,26
222,link1065151889424,26
223,link309237645316,26
224,link1288490188803,26
225,link1219770712080,26
226,link369367187456,26
227,link592705486860,26
228,link1047972020234,26
229,link249108103187,26
230,link979252543506,26
231,link472446402569,26
232,link1486058684429,25
233,link1073741824018,24
234,link34359738389,24
235,link1228360646671,24
236,link171798691855,24
237,link1030792151050,24
238,link1039382085646,24
239,link128849018894,24
240,link712964571157,24
241,link1331439861771,24
242,link618475290628,24
243,link489626271752,23
244,link240518168595,23
245,link25,23
246,link1082331758606,23
247,link420906795028,23
248,link317827579927,23
249,link910533066771,23
250,link867583393801,23
251,link635655159826,23
252,link910533066768,22
253,link1597727834115,22
254,link1606317768731,22
255,link377957122056,22
256,link1408749273095,22
